"","week_nr","holiday","brand","format","totalvolume","totalvalue","LL","avgregprice","avgfinalprice","avgdiscount","depth","cop_avgregprice","cop_avgdiscount","cop_avgfinalprice","avgcompLL","avgcompregprice","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgregprice1","avgdiscount1","avgcompLL1","avgcompfinalprice1","avgcompregprice1","avgcompdiscount1","dtotalvolume","davgfinalprice","davgregprice","davgdiscount","dLL","davgcompLL","davgcompfinalprice","davgcompdiscount"
"11",5,1,"A","supermarket",5,73.1149553307332,3,16.8229910661466,14.6229910661466,2.2,0.130773415461601,-0.582841507271216,-0.133095761626143,-0.428571219300995,3.19444444444444,20.6363160626885,18.6085382849107,2.02777777777778,1,30.6870236853138,1,30.6870236853138,30.6870236853138,0,3.14285714285714,17.7525694484594,19.7117531219288,1.95918367346939,4,-16.0640326191672,-13.8640326191672,2.2,2,0.0515873015873014,0.8559688364513,0.06859410430839
"12",6,0,"A","convenience",2,4.3357366495766,1,7.6678683247883,2.1678683247883,5.5,0.717278879479434,-2.59672352145313,1.62797865530378,-2.45425591468751,2.58823529411765,21.1194011349888,17.5311658408712,3.58823529411765,2,39.2360428883694,2,19.6180214441847,19.6180214441847,0,3.19444444444444,18.6085382849107,20.6363160626885,2.02777777777778,0,-17.4501531193964,-11.9501531193964,5.5,-1,-0.606209150326797,-1.07737244403953,1.56045751633987
"13",6,0,"A","hypermarket",2,26.2922067968175,1,14.6461033984087,13.1461033984087,1.5,0.10241631915305,-1.07504866453499,-0.358458793251194,-0.683774379879299,2.58823529411765,21.1194011349888,17.5311658408712,3.58823529411765,1,19.6505106124096,1,19.6505106124096,19.6505106124096,0,3.19444444444444,18.6085382849107,20.6363160626885,2.02777777777778,1,-6.50440721400085,-5.00440721400085,1.5,0,-0.606209150326797,-1.07737244403953,1.56045751633987
"14",6,0,"A","supermarket",4,83.4650242063217,3,21.8662560515804,20.8662560515804,1,0.0457325660890961,0.3147635663168,-0.568918036256041,0.541395085129088,2.58823529411765,21.1194011349888,17.5311658408712,3.58823529411765,5,73.1149553307332,3,14.6229910661466,16.8229910661466,2.2,3.19444444444444,18.6085382849107,20.6363160626885,2.02777777777778,-1,6.24326498543379,5.04326498543378,-1.2,0,-0.606209150326797,-1.07737244403953,1.56045751633987
"15",7,0,"A","convenience",4,101.975165150128,3,26.9937912875321,25.4937912875321,1.5,0.0555683336224364,1.07504866453499,-0.358458793251194,1.00417531614074,3.37142857142857,22.1634352317612,19.6491495174755,2.51428571428571,2,4.3357366495766,1,2.1678683247883,7.6678683247883,5.5,2.58823529411765,17.5311658408712,21.1194011349888,3.58823529411765,2,23.3259229627438,19.3259229627438,-4,2,0.783193277310924,2.11798367660429,-1.07394957983193
"16",7,0,"A","hypermarket",1,35.8553292718716,1,35.8553292718716,35.8553292718716,0,0,1.77866855355233,-0.82492923992224,1.77866855355233,3.37142857142857,22.1634352317612,19.6491495174755,2.51428571428571,2,26.2922067968175,1,13.1461033984087,14.6461033984087,1.5,2.58823529411765,17.5311658408712,21.1194011349888,3.58823529411765,-1,22.7092258734628,21.2092258734628,-1.5,0,0.783193277310924,2.11798367660429,-1.07394957983193
"17",7,0,"A","supermarket",5,78.963203847874,3,19.9926407695748,15.7926407695748,4.2,0.210077300363024,0.0147454065279029,0.867108884797932,-0.198884696021798,3.37142857142857,22.1634352317612,19.6491495174755,2.51428571428571,4,83.4650242063217,3,20.8662560515804,21.8662560515804,1,2.58823529411765,17.5311658408712,21.1194011349888,3.58823529411765,1,-5.07361528200562,-1.87361528200563,3.2,0,0.783193277310924,2.11798367660429,-1.07394957983193
"18",8,0,"A","convenience",9,126.637599415611,6,16.9597332684013,14.0708443795124,2.88888888888889,0.170338108693688,-0.575865816744326,0.204904091073434,-0.521019853317231,3.39024390243902,18.1301911478499,15.2277521234596,2.90243902439024,4,101.975165150128,3,25.4937912875321,26.9937912875321,1.5,3.37142857142857,19.6491495174755,22.1634352317612,2.51428571428571,5,-11.4229469080197,-10.0340580191308,1.38888888888889,3,0.0188153310104537,-4.42139739401587,0.38815331010453
"19",8,0,"A","hypermarket",6,118.427567498758,4,22.7379279164597,19.7379279164597,3,0.131938143661205,0.500858674540161,0.271661440044389,0.333411704230746,3.39024390243902,18.1301911478499,15.2277521234596,2.90243902439024,1,35.8553292718716,1,35.8553292718716,35.8553292718716,0,3.37142857142857,19.6491495174755,22.1634352317612,2.51428571428571,5,-16.1174013554118,-13.1174013554118,3,3,0.0188153310104537,-4.42139739401587,0.38815331010453
"20",8,0,"A","supermarket",5,79.9631430623121,3,19.3926286124624,15.9926286124624,3.4,0.17532434967661,-0.0974702721601396,0.422114867521979,-0.162911348622918,3.39024390243902,18.1301911478499,15.2277521234596,2.90243902439024,5,78.963203847874,3,15.7926407695748,19.9926407695748,4.2,3.37142857142857,19.6491495174755,22.1634352317612,2.51428571428571,0,0.199987842887623,-0.600012157112374,-0.8,0,0.0188153310104537,-4.42139739401587,0.38815331010453
"21",9,0,"A","convenience",6,71.3435926279052,4,16.7239321046509,11.8905987713175,4.83333333333333,0.28900699327697,-0.596878900410739,1.23596765138109,-0.884418039827597,3.55263157894737,23.1968433758562,21.5915802179615,1.60526315789474,9,126.637599415611,6,14.0708443795124,16.9597332684013,2.88888888888889,3.39024390243902,15.2277521234596,18.1301911478499,2.90243902439024,-3,-2.18024560819484,-0.235801163750399,1.94444444444444,-2,0.162387676508344,6.36382809450189,-1.29717586649551
"22",9,0,"A","hypermarket",1,42.1422243327834,1,42.1422243327834,42.1422243327834,0,0,2.26472741974419,-0.82492923992224,2.26472741974419,3.55263157894737,23.1968433758562,21.5915802179615,1.60526315789474,6,118.427567498758,4,19.7379279164597,22.7379279164597,3,3.39024390243902,15.2277521234596,18.1301911478499,2.90243902439024,-5,22.4042964163236,19.4042964163236,-3,-3,0.162387676508344,6.36382809450189,-1.29717586649551
"23",9,0,"A","supermarket",8,194.207291070837,7,25.6509113838547,24.2759113838547,1.375,0.0536043331725616,0.938017738751308,-0.435045485616007,0.893172680392973,3.55263157894737,23.1968433758562,21.5915802179615,1.60526315789474,5,79.9631430623121,3,15.9926286124624,19.3926286124624,3.4,3.39024390243902,15.2277521234596,18.1301911478499,2.90243902439024,3,8.28328277139226,6.25828277139226,-2.025,4,0.162387676508344,6.36382809450189,-1.29717586649551
"24",10,1,"A","convenience",5,86.6479440699332,3,22.1295888139866,17.3295888139866,4.8,0.21690416574601,0.39008920056972,1.17498679206609,0.0383460631305327,2.41860465116279,16.4042731096188,13.4507847375258,2.95348837209302,6,71.3435926279052,4,11.8905987713175,16.7239321046509,4.83333333333333,3.55263157894737,21.5915802179615,23.1968433758562,1.60526315789474,-1,5.43899004266911,5.40565670933577,-0.0333333333333332,-1,-1.13402692778458,-8.1407954804357,1.34822521419829
"25",11,0,"A","convenience",7,159.579203492031,5,24.2256004988615,22.7970290702901,1.42857142857143,0.0589694950446559,0.706302562840088,-0.409254447344032,0.736911005955577,3.87272727272727,20.3274660035121,18.2729205489667,2.05454545454545,5,86.6479440699332,3,17.3295888139866,22.1295888139866,4.8,2.41860465116279,13.4507847375258,16.4042731096188,2.95348837209302,2,5.46744025630344,2.09601168487487,-3.37142857142857,2,1.45412262156448,4.82213581144085,-0.898942917547569
"26",11,0,"A","hypermarket",4,36.2355364346876,2,11.5588841086719,9.0588841086719,2.5,0.216283853743668,-1.65058409181469,0.0560598638374478,-1.37409637495471,3.87272727272727,20.3274660035121,18.2729205489667,2.05454545454545,1,42.1422243327834,1,42.1422243327834,42.1422243327834,0,3.55263157894737,21.5915802179615,23.1968433758562,1.60526315789474,3,-33.0833402241115,-30.5833402241115,2.5,1,0.320095693779904,-3.31865966899485,0.449282296650717
"27",11,0,"A","supermarket",3,50.3133213524706,2,19.4377737841569,16.7711071174902,2.66666666666667,0.137189921864416,-0.0797066275117868,0.115264729059114,-0.0501535834647337,3.87272727272727,20.3274660035121,18.2729205489667,2.05454545454545,8,194.207291070837,7,24.2759113838547,25.6509113838547,1.375,3.55263157894737,21.5915802179615,23.1968433758562,1.60526315789474,-5,-7.50480426636449,-6.21313759969782,1.29166666666667,-5,0.320095693779904,-3.31865966899485,0.449282296650717
"28",12,0,"A","convenience",7,102.468780880794,4,19.0669686972563,14.6383972686848,4.42857142857143,0.232264053027406,-0.162911348622918,0.975299406693437,-0.402849663373676,3.59574468085106,17.8321680571745,13.8534446529192,3.97872340425532,7,159.579203492031,5,22.7970290702901,24.2256004988615,1.42857142857143,3.87272727272727,18.2729205489667,20.3274660035121,2.05454545454545,0,-8.15863180160524,-5.15863180160524,3,-1,-0.276982591876208,-4.41947589604746,1.92417794970986
"29",12,0,"A","supermarket",1,30.3482291707769,1,30.3482291707769,30.3482291707769,0,0,1.37409637495471,-0.82492923992224,1.38941733384107,3.59574468085106,17.8321680571745,13.8534446529192,3.97872340425532,3,50.3133213524706,2,16.7711071174902,19.4377737841569,2.66666666666667,3.87272727272727,18.2729205489667,20.3274660035121,2.05454545454545,-2,13.5771220532867,10.91045538662,-2.66666666666667,-1,-0.276982591876208,-4.41947589604746,1.92417794970986
"30",13,0,"A","convenience",4,96.5935313482769,3,25.1483828370692,24.1483828370692,1,0.0397639882643261,0.833246216317321,-0.568918036256041,0.884418039827597,3.42857142857143,19.4670614507049,16.0588981853988,3.40816326530612,7,102.468780880794,4,14.6383972686848,19.0669686972563,4.42857142857143,3.59574468085106,13.8534446529192,17.8321680571745,3.97872340425532,-3,9.50998556838438,6.08141413981295,-3.42857142857143,-1,-0.167173252279635,2.20545353247961,-0.570560138949197
"31",13,0,"A","hypermarket",2,34.7128279302269,1,21.3564139651135,17.3564139651135,4,0.187297362119603,0.216965419673933,0.800313105648729,0.0442490521541925,3.42857142857143,19.4670614507049,16.0588981853988,3.40816326530612,4,36.2355364346876,2,9.0588841086719,11.5588841086719,2.5,3.87272727272727,18.2729205489667,20.3274660035121,2.05454545454545,-2,8.29752985644155,9.79752985644155,1.5,-1,-0.444155844155843,-2.21402236356785,1.35361781076067
"32",13,0,"A","supermarket",2,41.4658795483411,2,20.7329397741705,20.7329397741705,0,0,0.145006319419995,-0.82492923992224,0.521019853317231,3.42857142857143,19.4670614507049,16.0588981853988,3.40816326530612,1,30.3482291707769,1,30.3482291707769,30.3482291707769,0,3.59574468085106,13.8534446529192,17.8321680571745,3.97872340425532,1,-9.61528939660635,-9.61528939660635,0,1,-0.167173252279635,2.20545353247961,-0.570560138949197
"33",14,0,"A","convenience",4,117.666494284291,3,30.4166235710727,29.4166235710727,1,0.0328767589099217,1.38941733384107,-0.568918036256041,1.31581752981539,3.88888888888889,21.1719440648643,19.149721842642,2.02222222222222,4,96.5935313482769,3,24.1483828370692,25.1483828370692,1,3.42857142857143,16.0588981853988,19.4670614507049,3.40816326530612,0,5.2682407340035,5.2682407340035,0,0,0.46031746031746,3.09082365724323,-1.3859410430839
"34",14,0,"A","hypermarket",8,127.823402515147,5,19.6029253143934,15.9779253143934,3.625,0.184921379940083,-0.0619681004755541,0.507556069065684,-0.174876761406443,3.88888888888889,21.1719440648643,19.149721842642,2.02222222222222,2,34.7128279302269,1,17.3564139651135,21.3564139651135,4,3.42857142857143,16.0588981853988,19.4670614507049,3.40816326530612,6,-1.37848865072009,-1.75348865072009,-0.375,4,0.46031746031746,3.09082365724323,-1.3859410430839
"35",14,0,"A","supermarket",1,23.7015554099344,1,23.7015554099344,23.7015554099344,0,0,0.661588009446465,-0.82492923992224,0.82492923992224,3.88888888888889,21.1719440648643,19.149721842642,2.02222222222222,2,41.4658795483411,2,20.7329397741705,20.7329397741705,0,3.42857142857143,16.0588981853988,19.4670614507049,3.40816326530612,-1,2.96861563576385,2.96861563576385,0,-1,0.46031746031746,3.09082365724323,-1.3859410430839
"36",15,0,"A","convenience",5,56.0722493981011,3,13.6144498796202,11.2144498796202,2.4,0.176283288801306,-1.26169425895219,-0.0147454065279029,-1.04403199237507,2.76923076923077,19.3724860795415,16.2699219769774,3.1025641025641,4,117.666494284291,3,29.4166235710727,30.4166235710727,1,3.88888888888889,19.149721842642,21.1719440648643,2.02222222222222,1,-18.2021736914525,-16.8021736914525,1.4,0,-1.11965811965812,-2.87979986566461,1.08034188034188
"37",15,0,"A","supermarket",2,28.5921498965472,1,17.7960749482736,14.2960749482736,3.5,0.196672581463787,-0.441538039063518,0.474288602972453,-0.494183671238257,2.76923076923077,19.3724860795415,16.2699219769774,3.1025641025641,1,23.7015554099344,1,23.7015554099344,23.7015554099344,0,3.88888888888889,19.149721842642,21.1719440648643,2.02222222222222,1,-9.4054804616608,-5.9054804616608,3.5,0,-1.11965811965812,-2.87979986566461,1.08034188034188
"38",16,0,"A","convenience",1,30.9937440510839,1,30.9937440510839,30.9937440510839,0,0,1.48906372753663,-0.82492923992224,1.48906372753663,3.46511627906977,18.700453211705,16.6306857698445,2.06976744186047,5,56.0722493981011,3,11.2144498796202,13.6144498796202,2.4,2.76923076923077,16.2699219769774,19.3724860795415,3.1025641025641,-4,19.7792941714637,17.3792941714637,-2.4,-2,0.695885509838998,0.360763792867107,-1.03279666070364
"39",16,0,"A","hypermarket",3,41.9482763502747,2,16.3160921167582,13.9827587834249,2.33333333333333,0.14300810001782,-0.698753837034159,-0.0560598638374478,-0.527787176060503,3.46511627906977,18.700453211705,16.6306857698445,2.06976744186047,8,127.823402515147,5,15.9779253143934,19.6029253143934,3.625,3.88888888888889,19.149721842642,21.1719440648643,2.02222222222222,-5,-1.99516653096846,-3.28683319763513,-1.29166666666667,-3,-0.423772609819121,-2.5190360727975,0.0475452196382431
"40",16,0,"A","supermarket",4,68.6226728977636,2,19.6556682244409,17.1556682244409,2.5,0.127189774036345,-0.0265438866766893,0.0560598638374478,0.00294897871502372,3.46511627906977,18.700453211705,16.6306857698445,2.06976744186047,2,28.5921498965472,1,14.2960749482736,17.7960749482736,3.5,2.76923076923077,16.2699219769774,19.3724860795415,3.1025641025641,2,2.8595932761673,1.8595932761673,-1,1,0.695885509838998,0.360763792867107,-1.03279666070364
"41",17,0,"A","convenience",8,133.7289241869,5,20.8411155233625,16.7161155233625,4.125,0.197926065683766,0.150969215496777,0.808463987199445,-0.0560598638374478,3.24489795918367,18.727383342315,15.8906486484374,2.83673469387755,1,30.9937440510839,1,30.9937440510839,30.9937440510839,0,3.46511627906977,16.6306857698445,18.700453211705,2.06976744186047,7,-14.2776285277214,-10.1526285277214,4.125,4,-0.220218319886094,-0.740037121407125,0.766967252017086
"42",17,0,"A","hypermarket",2,24.9314852217212,1,18.4657426108606,12.4657426108606,6,0.324926006304838,-0.271661440044389,1.87221784975714,-0.800313105648729,3.24489795918367,18.727383342315,15.8906486484374,2.83673469387755,3,41.9482763502747,2,13.9827587834249,16.3160921167582,2.33333333333333,3.46511627906977,16.6306857698445,18.700453211705,2.06976744186047,-1,-1.5170161725643,2.14965049410237,3.66666666666667,-1,-0.220218319886094,-0.740037121407125,0.766967252017086
"43",17,0,"A","supermarket",7,138.484888793435,5,22.9264126847764,19.7835555419193,3.14285714285714,0.137084557713822,0.514276308000298,0.302392408501761,0.364755242711979,3.24489795918367,18.727383342315,15.8906486484374,2.83673469387755,4,68.6226728977636,2,17.1556682244409,19.6556682244409,2.5,3.46511627906977,16.6306857698445,18.700453211705,2.06976744186047,3,2.62788731747837,3.27074446033551,0.642857142857143,3,-0.220218319886094,-0.740037121407125,0.766967252017086
"44",18,1,"A","convenience",9,154.765215292107,6,20.1961350324564,17.1961350324564,3,0.148543273016289,0.0797066275117868,0.210930919675825,0.00884703873063142,4.1551724137931,19.474448103554,17.1641032759678,2.31034482758621,8,133.7289241869,5,16.7161155233625,20.8411155233625,4.125,3.24489795918367,15.8906486484374,18.727383342315,2.83673469387755,1,0.480019509093836,-0.644980490906164,-1.125,1,0.91027445460943,1.27345462753041,-0.526389866291344
"45",18,1,"A","hypermarket",6,86.0916762407869,4,18.1819460401311,14.3486127067978,3.83333333333333,0.210831850720072,-0.333411704230746,0.639722628852158,-0.487530614489362,4.1551724137931,19.474448103554,17.1641032759678,2.31034482758621,2,24.9314852217212,1,12.4657426108606,18.4657426108606,6,3.24489795918367,15.8906486484374,18.727383342315,2.83673469387755,4,1.88287009593721,-0.283796570729454,-2.16666666666667,3,0.91027445460943,1.27345462753041,-0.526389866291344
"46",19,0,"A","convenience",3,51.9629828301259,2,19.654327610042,17.3209942767086,2.33333333333333,0.118718552963428,-0.0324444099954109,-0.0560598638374478,0.0324444099954109,3.94230769230769,23.2649016335983,21.0149016335983,2.25,9,154.765215292107,6,17.1961350324564,20.1961350324564,3,4.1551724137931,17.1641032759678,19.474448103554,2.31034482758621,-6,0.124859244252256,-0.541807422414408,-0.666666666666667,-4,-0.212864721485412,3.85079835763045,-0.0603448275862064
"47",19,0,"A","hypermarket",5,58.7814366901293,3,16.5562873380259,11.7562873380259,4.8,0.289920070967574,-0.632502120111892,1.17498679206609,-0.928899491647271,3.94230769230769,23.2649016335983,21.0149016335983,2.25,6,86.0916762407869,4,14.3486127067978,18.1819460401311,3.83333333333333,4.1551724137931,17.1641032759678,19.474448103554,2.31034482758621,-1,-2.59232536877196,-1.62565870210529,0.966666666666667,-1,-0.212864721485412,3.85079835763045,-0.0603448275862064
"48",19,0,"A","supermarket",6,117.464534450322,4,23.0774224083871,19.5774224083871,3.5,0.15166338502033,0.568918036256041,0.441538039063518,0.3147635663168,3.94230769230769,23.2649016335983,21.0149016335983,2.25,7,138.484888793435,5,19.7835555419193,22.9264126847764,3.14285714285714,3.24489795918367,15.8906486484374,18.727383342315,2.83673469387755,-1,-0.206133133532205,0.151009723610652,0.357142857142857,-1,0.697409733124018,5.12425298516085,-0.586734693877551
"49",20,0,"A","convenience",3,86.2969611771405,3,28.7656537257135,28.7656537257135,0,0,1.2234057819923,-0.82492923992224,1.26169425895219,3.31818181818182,17.9825517786561,14.8461881422925,3.13636363636364,3,51.9629828301259,2,17.3209942767086,19.654327610042,2.33333333333333,3.94230769230769,21.0149016335983,23.2649016335983,2.25,0,11.4446594490049,9.11132611567153,-2.33333333333333,1,-0.624125874125874,-6.16871349130582,0.886363636363636
"50",20,0,"A","hypermarket",3,64.9410235886462,2,24.3136745295487,21.6470078628821,2.66666666666667,0.109677649235036,0.736911005955577,0.115264729059114,0.632502120111892,3.31818181818182,17.9825517786561,14.8461881422925,3.13636363636364,5,58.7814366901293,3,11.7562873380259,16.5562873380259,4.8,3.94230769230769,21.0149016335983,23.2649016335983,2.25,-2,9.8907205248562,7.75738719152287,-2.13333333333333,-1,-0.624125874125874,-6.16871349130582,0.886363636363636
"51",20,0,"A","supermarket",2,23.138060443569,1,15.0690302217845,11.5690302217845,3.5,0.232264448905294,-0.965853192606018,0.474288602972453,-0.965853192606018,3.31818181818182,17.9825517786561,14.8461881422925,3.13636363636364,6,117.464534450322,4,19.5774224083871,23.0774224083871,3.5,3.94230769230769,21.0149016335983,23.2649016335983,2.25,-4,-8.00839218660257,-8.00839218660257,4.44089209850063e-16,-3,-0.624125874125874,-6.16871349130582,0.886363636363636
"52",21,0,"A","convenience",3,68.1549738915637,2,24.7183246305212,22.7183246305212,2,0.0809116325598571,0.792215050851145,-0.174876761406443,0.729195059425547,3.1219512195122,22.2989454682598,19.7623601024062,2.53658536585366,3,86.2969611771405,3,28.7656537257135,28.7656537257135,0,3.31818181818182,14.8461881422925,17.9825517786561,3.13636363636364,0,-6.04732909519227,-4.04732909519227,2,-1,-0.196230598669621,4.91617196011373,-0.599778270509978
"53",21,0,"A","hypermarket",1,19.4014266645536,1,19.4014266645536,19.4014266645536,0,0,-0.0915459161991336,-0.82492923992224,0.290067359817383,3.1219512195122,22.2989454682598,19.7623601024062,2.53658536585366,3,64.9410235886462,2,21.6470078628821,24.3136745295487,2.66666666666667,3.31818181818182,14.8461881422925,17.9825517786561,3.13636363636364,-2,-2.24558119832846,-4.91224786499513,-2.66666666666667,-1,-0.196230598669621,4.91617196011373,-0.599778270509978
"54",21,0,"A","supermarket",8,124.615012321621,5,18.4518765402027,15.5768765402027,2.875,0.1558107108367,-0.277786219077766,0.198884696021799,-0.247261461255472,3.1219512195122,22.2989454682598,19.7623601024062,2.53658536585366,2,23.138060443569,1,11.5690302217845,15.0690302217845,3.5,3.31818181818182,14.8461881422925,17.9825517786561,3.13636363636364,6,4.00784631841816,3.38284631841816,-0.625,4,-0.196230598669621,4.91617196011373,-0.599778270509978
"55",22,0,"A","convenience",1,30.3195467172191,1,30.3195467172191,30.3195467172191,0,0,1.34438621411512,-0.82492923992224,1.37409637495471,4.22413793103448,18.5022272336184,15.5711927508598,2.93103448275862,3,68.1549738915637,2,22.7183246305212,24.7183246305212,2,3.1219512195122,19.7623601024062,22.2989454682598,2.53658536585366,-2,7.60122208669787,5.60122208669787,-2,-1,1.10218671152229,-4.19116735154637,0.394449116904963
"56",22,0,"A","hypermarket",1,32.6933013671078,1,32.6933013671078,32.6933013671078,0,0,1.60617577644994,-0.82492923992224,1.60617577644994,4.22413793103448,18.5022272336184,15.5711927508598,2.93103448275862,1,19.4014266645536,1,19.4014266645536,19.4014266645536,0,3.1219512195122,19.7623601024062,22.2989454682598,2.53658536585366,0,13.2918747025542,13.2918747025542,0,0,1.10218671152229,-4.19116735154637,0.394449116904963
"57",22,0,"A","supermarket",2,17.9674565135501,1,14.9837282567751,8.98372825677505,6,0.400434384365389,-1.00417531614074,1.87221784975714,-1.38941733384107,4.22413793103448,18.5022272336184,15.5711927508598,2.93103448275862,8,124.615012321621,5,15.5768765402027,18.4518765402027,2.875,3.1219512195122,19.7623601024062,22.2989454682598,2.53658536585366,-6,-6.59314828342761,-3.46814828342761,3.125,-4,1.10218671152229,-4.19116735154637,0.394449116904963
"58",23,0,"A","convenience",5,73.1382324751467,4,15.0276464950293,14.6276464950293,0.4,0.0266176077626199,-0.994457883209753,-0.760327540636133,-0.415676063750228,2.87804878048781,20.1279849701606,17.1523752140631,2.97560975609756,1,30.3195467172191,1,30.3195467172191,30.3195467172191,0,4.22413793103448,15.5711927508598,18.5022272336184,2.93103448275862,4,-15.6919002221898,-15.2919002221898,0.4,3,-1.34608915054668,1.58118246320327,0.0445752733389395
"59",23,0,"A","hypermarket",1,27.5723273120821,1,27.5723273120821,27.5723273120821,0,0,1.10713562711049,-0.82492923992224,1.17498679206609,2.87804878048781,20.1279849701606,17.1523752140631,2.97560975609756,1,32.6933013671078,1,32.6933013671078,32.6933013671078,0,4.22413793103448,15.5711927508598,18.5022272336184,2.93103448275862,0,-5.1209740550257,-5.1209740550257,0,0,-1.34608915054668,1.58118246320327,0.0445752733389395
